Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,9600.18512965969,10188.3697801238,11176.4584362517,10401.9829861914,11091.2838606376,12959.3243186619,13749.1151520996,13427.8324937945,13472.1376415276,13245.1894634121,12042.9537310995,12538.1788278361,14110.3133911078,18477.578411927,21955.1040911595,22551.735744099,24801.1578065035,28827.3263555224,31997.2820108813,29710.9702950284,26917.7589787254,25916.2935289351,22242.681934771,21874.8195041667,21760.9797994918,18167.7737169162,18116.4596223336,18883.4600669282,20324.2535641478
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,..,3350.25832323432,3735.10582022067,3873.98772321774,4173.37302368653,4494.70762405948,4525.03910312241,4596.18262235195,4744.21226429639,4793.47852203763,4624.28165670295,5276.03318905496,6655.33300865319,8421.10331316153,10285.7936270098,11200.5769496264,11475.8227057093,13918.9601910137,15753.4732840195,13046.4810081848,13113.5259617277,14150.9667263678,12918.2475205388,13687.246101281,14246.109801447,12651.5683423004,12992.375667515,14457.608763614,16161.9805101918
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,25423.0720058482,26843.2780957191,27165.046020652,23615.2390017339,24054.7346686467,26673.625324993,27659.876119742,27960.9222066551,30995.0287465653,32343.9929428494,32018.0632471857,28793.9598986984,32326.6377413951,39423.9273164191,47367.2818601205,56658.5895912552,56673.5930446545,69054.270801496,56409.7734569066,41333.4198670842,43024.9238377351,47516.8757402109,45910.0209039774,49522.2369665887,54242.0546770039,52428.5957626253,61757.9493064483,71314.774196294,73191.1163154337
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,14048.1062048571,14104.0782910741,15733.2039761324,14674.6145690882,15921.9748437244,19181.4004464832,20860.596992539,22542.8107714729,24263.2448019694,26284.3419750136,26241.3646146973,28227.7275276623,32541.0986016666,41106.9252651794,47631.0106571223,50878.2236116364,54306.4293166897,61359.7413812502,61262.1005610307,52105.1524837739,48715.1768553933,51848.9097301621,48917.8975571766,51590.1884453629,55492.982676213,61995.4227789928,63197.0823744196,69649.8827399743,78806.431996268
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,12663.3645290826,13650.8421213355,14758.3471055702,14443.2439705716,15992.3435031599,18103.6625165139,19324.6393585294,19652.6074376039,19415.9850688554,19120.2506461821,21043.5749322433,20306.9322388455,18435.8947627594,18979.3234467797,19896.8177404384,20566.6454898642,21837.3784883786,24924.3309496648,29567.803875678,27715.636808319,30693.5930786871,33669.2464692884,32511.2378524925,36309.4688256886,37678.8897743182,35776.7951710172,37321.6240366845,40541.8620907084,41715.0292840432
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,20825.7842085848,21956.5297597337,23243.4745415513,18738.7639034085,19337.6309059755,20664.5522701724,23081.6046757702,21829.3458226222,22318.1373007109,21997.6243155313,20087.5919858794,20483.2159949974,22270.1441234282,27465.6752987224,31259.7164954309,32043.1403684119,33501.6581673044,37822.6652377427,40778.3427367209,37079.7586704546,36000.5201179254,38599.0622070322,35053.5262442572,35549.9746972954,35518.4152916749,30230.2263021296,30936.125444977,32326.8417463954,34483.2039992043
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,25359.34702031,28925.0415756881,31464.549046228,35765.9140886748,39268.5668686204,43440.3678678967,38436.9263119118,35021.7190917159,31902.7670955137,36026.5560750168,38532.0408752935,33846.4656414342,32289.3505360726,34808.3909176613,37688.7223359406,37217.648727917,35433.988963743,35275.2284312667,39339.2975731826,40855.1756354596,44507.6763859172,48167.9972684965,48603.4766497749,40454.4474578903,38109.4121125573,34524.4698609337,38794.3309405515,38331.9793978104,39289.9584346358
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,6516.30575938957,7523.47700161843,8001.54099186249,8740.9456025724,10205.8074659925,12332.9793517745,13137.9080701614,12131.8747042592,8085.32352838328,10409.3268882433,11947.5791282061,11252.9075540783,12782.5255346669,14209.3885192557,15907.6658340352,18639.5222053842,20888.3801505326,23060.7078836716,20430.6394600807,18291.9195978633,22086.9529193201,24079.788523886,24358.7821758226,25890.0186698906,27811.36638377,27105.076226264,27608.2474287116,29742.8388613471,31362.75147294
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,..,..,..,..,..,2322.08701045115,2422.25057472853,2675.24482765197,2965.07300683304,3144.99112702702,3351.23070568401,3566.17111854204,4125.21003421908,5127.59357483893,6343.14352575203,7552.87389420335,9663.37345136659,14042.4624200212,16376.9983633933,12257.2165683051,11344.6933695837,13713.8553053545,13847.7851073453,15043.1175639591,15740.3267490719,13698.9379476476,14153.4149226916,15548.0823130571,17860.6171980214
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,..,..,..,..,..,2168.79609901209,2328.15380783134,2830.73753338088,3166.89564814117,3113.54642795619,3297.35470084107,3530.14733731891,4146.98792783931,5505.5356688311,6706.96699843928,7863.16200865166,9240.64254797441,12297.9153480396,14961.5681759187,11837.3910271086,11953.9384416891,14338.6435140155,14333.9493428112,15705.1639858867,16534.4819837926,14249.1149666026,14999.4796391329,16840.938567953,19153.4089860651
